Ubicacion,Descripcion,Modelo del dispositivo,Numero de serie,Direccion,Organizacion,Punto de acceso
T. Locales Comerciales Piso -1,Local 1,Powys 1120,805317888,1,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 2,Powys 1120,989877504,2,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 3,Powys 1120,1090546432,3,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 4,Powys 1120,973106176,4,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 5,Powys 1120,973097984,5,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 6,Powys 1120,553661696,6,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 7,Powys 1120,989878272,7,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 8,Powys 1120,822092544,8,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 9,Powys 1120,104029984,9,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 16,Powys 3101,956307456,16,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 17,Powys 3101,520111104,17,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 18,powys 1120,939543040,18,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 19,powys 1120,536887040,19,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 20,powys 1120,973104896,20,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 21,powys 1120,822095104,21,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 22,powys 1120,973087744,22,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 23,powys 1120,1073750016,23,Colores del Abra II/Piso -1,ETOR CADAII -1
T. Locales Comerciales Piso -1,Local 24,powys 1120,805312768,24,Colores del Abra II/Piso -1,ETOR CADAII -1
piso 2,Depto 201,powys 1120,989879040,1,Colores del Abra II/Piso 02,ETOR CADAII 02
piso 2,Depto 202,powys 1120,939532800,2,Colores del Abra II/Piso 02,ETOR CADAII 02
piso 2,Depto 203,powys 1120,956316416,3,Colores del Abra II/Piso 02,ETOR CADAII 02
piso 3,Depto 301,powys 1120,536884736,4,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Depto 302,powys 1120,989869824,5,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Depto 303,powys 1120,1073768960,6,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Depto 304,powys 1120,989874176,7,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Duplex 1,powys 1120,989882368,8,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Duplex 2,powys 1120,989883648,9,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Depto 311,powys 1120,536882688,10,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 3,Depto 312,powys 1120,939536128,11,Colores del Abra II/Piso 03,ETOR CADAII 02
piso 4,Depto 401,powys 1120,1191191808,12,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 402,powys 1120,939544064,13,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 403,powys 1120,822095360,14,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 404,powys 1120,989869056,15,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 405,powys 1120,1090528768,16,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 406,powys 1120,1090529792,17,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 407,powys 1120,553662464,18,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 408,powys 1120,822093056,19,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 410,powys 1120,1073749504,20,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 411,powys 1120,822090240,21,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 4,Depto 412,powys 1120,1191191552,22,Colores del Abra II/Piso 04,ETOR CADAII 02
piso 5,Depto 501,powys 1120,1073750272,1,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 502,powys 1120,805314304,2,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 503,powys 1120,1023432960,3,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 504,powys 1120,1191192064,4,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 505,powys 1120,536882176,5,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 506,powys 1120,1023433728,6,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 507,powys 1120,973089024,7,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 508,powys 1120,973105920,8,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 509,powys 1120,536886528,9,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 510,powys 1120,469780736,10,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 511,powys 1120,872429568,11,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 5,Depto 512,powys 1120,939544320,12,Colores del Abra II/Piso 05,ETOR CADAII 05
piso 6,Depto 601,powys 1120,1191192320,13,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 602,powys 1120,939547136,14,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 603,powys 1120,939533568,15,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 604,powys 1120,822092800,16,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 605,powys 1120,1140860416,17,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 606,powys 1120,520114432,18,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 607,powys 1120,989878016,19,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 608,powys 1120,1090529536,20,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 609,powys 1120,1090530816,21,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 610,powys 1120,989870848,22,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 611,powys 1120,989870592,23,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 6,Depto 612,powys 1120,838879744,24,Colores del Abra II/Piso 06,ETOR CADAII 05
piso 7,Depto 701,powys 1120,822088960,25,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 702,powys 1120,553662976,26,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 703,powys 1120,939542784,27,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 704,powys 1120,939539712,28,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 705,powys 1120,805313792,29,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 706,powys 1120,939546112,30,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 707,powys 1120,973103616,31,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 708,powys 1120,805314048,32,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 709,powys 1120,989876992,33,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 710,powys 1120,939543808,34,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 711,powys 1120,1056981504,35,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 7,Depto 712,powys 1120,536883712,36,Colores del Abra II/Piso 07,ETOR CADAII 05
piso 8,Depto 801,powys 1120,822096128,37,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 802,powys 1120,822090496,38,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 803,powys 1120,1090528000,39,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 804,powys 1120,956309248,40,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 805,powys 1120,9898733408,41,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 806,powys 1120,1073749248,42,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 807,powys 1120,973091072,43,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 808,powys 1120,1191194112,44,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 809,powys 1120,939539456,45,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 810,powys 1120,989872384,46,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 811,powys 1120,973084416,47,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 8,Depto 812,powys 1120,973086464,48,Colores del Abra II/Piso 08,ETOR CADAII 05
piso 9,Depto 901,powys 1120,973102592,1,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 902,powys 1120,805313280,2,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 903,powys 1120,771773952,3,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 904,powys 1120,1191193600,4,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 905,powys 1120,436227328,5,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 906,powys 1120,553661184,6,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 907,powys 1120,1140861952,7,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 908,powys 1120,973097728,8,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 909,powys 1120,805316352,9,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 910,powys 1120,956317952,10,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 911,powys 1120,822097152,11,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 9,Depto 912,powys 1120,939546880,12,Colores del Abra II/Piso 09,ETOR CADAII 09
piso 10,Depto 1001,powys 1120,822097408,13,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1002,powys 1120,939534336,14,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1003,powys 1120,939545856,15,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1004,powys 1120,956311296,16,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1005,powys 1120,1090529280,17,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1006,powys 1120,1124080384,18,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1007,powys 1120,956309760,19,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1008,powys 1120,956308736,20,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1009,powys 1120,436227072,21,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1010,powys 1120,1090525696,22,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1011,powys 1120,1140862208,23,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 10,Depto 1012,powys 1120,805313536,24,Colores del Abra II/Piso 10,ETOR CADAII 09
piso 11,Depto 1101,powys 1120,805316096,25,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1102,powys 1120,822097664,26,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1103,powys 1120,1090527744,27,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1104,powys 1120,822094080,28,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1105,powys 1120,939546624,29,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1106,powys 1120,553661440,30,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1107,powys 1120,822089472,31,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1108,powys 1120,956311040,32,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1109,powys 1120,822093568,33,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1110,powys 1120,553659904,34,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1111,powys 1120,822092288,35,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 11,Depto 1112,powys 1120,939535872,36,Colores del Abra II/Piso 11,ETOR CADAII 09
piso 12,Depto 1201,powys 1120,956312320,37,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1202,powys 1120,956323840,38,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1203,powys 1120,822091008,39,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1204,powys 1120,822095872,40,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1205,powys 1120,989880832,41,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1206,powys 1120,956307968,42,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1207,powys 1120,805314560,43,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1208,powys 1120,822094848,44,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1209,powys 1120,939534080,45,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1210,powys 1120,939532544,46,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1211,powys 1120,805318400,47,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 12,Depto 1212,powys 1120,956308992,48,Colores del Abra II/Piso 12,ETOR CADAII 09
piso 13,Depto 1301,powys 1120,1090530304,1,Colores del Abra II/Piso 13,ETOR CADAII 13
piso 13,Depto 1302,powys 1120,536883456,2,Colores del Abra II/Piso 13,ETOR CADAII 13
